"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
"21",20.966,20.4683,30.1978,21.4526,NA,NA,NA,26.6611,NA,31.2822,19.8167,18.9448,21.3389,2.97079,24.7923,30.729,5.78484,10.4039,21.9719,13.4642,25.5631,30.2462,6.47195,5.83233,37.4598,64.49,58.094,3.91122,NA,13.7065,3.80251,23.2098,13.4138,2.45391,12.4546,NA,46.7897,24.8844,45.4308,32.9789,11.7256,13.6067,20.301,74.2735,48.3999,36.6541,5.78398,85.225,7.37674,51.1868,8.38269,21.4017,60.7954,4.96221,10.784715,24.1685,13.1765,NA,91.5709,15.7059,10.9234,3.6993,85.5661,21.5205,10.1511,28.514,21.7064,53.6383,51.2575,11.1494,62.1015,33.3716,22.8222,92.4762,85.0139,19.3047,26.971,23.2996,60.1829
"22",23.6458,21.7119,28.8566,30.7162,NA,NA,NA,25.0513,NA,27.9099,14.4252,23.8834,22.7824,3.75033,25.8268,32.9031,5.86384,13.0119,22.3814,14.1096,27.7757,26.3199,1.79843,10.9054,51.8597,54.8769,18.5891,7.64767,NA,18.4305,10.9769,18.125,18.8048,5.29178,11.2415,NA,27.6513,28.6398,30.3466,27.0637,12.1174,14.8245,24.9917,83.1103,54.0455,50.3438,9.57356,89.1866,9.76391,22.8778,59.3507,27.6752,21.7369,2.4748,12.89593,7.193405,18.2239,NA,25.2612,14.3987,15.8546,1.89261,22.6098,21.0593,14.1819,29.435,21.2048,59.619,54.7164,23.6136,11.1691,60.1017,24.2016,92.6509,25.8639,19.5228,28.4464,18.4142,81.3486
"23",23.6498,25.2351,30.9304,19.5669,NA,NA,NA,25.0138,NA,30.1561,18.1069,6.77929,25.4961,3.2531,24.3183,29.5405,3.31303,14.2812,19.6512,5.99673,28.59,28.7514,1.29978,9.05081,36.8342,44.3061,49.3114,4.46105,NA,11.6263,12.7662,23.8635,42.8893,3.82675,7.96173,NA,12.3855,56.7416,85.4065,18.7507,9.14994,9.49082,24.2425,53.4969,39.4627,41.4603,7.46837,82.6253,52.2059,46.0635,50.5154,74.8063,52.6598,4.17013,35.1469,22.5472,39.0087,53.2981,NA,13.5588,36.5134,3.0275,66.9774,5.96374,7.03692,77.5423,NA,48.5096,53.1385,6.60334,63.2997,72.3797,19.6464,88.2018,78.8281,84.622,27.6201,40.0138,86.6529
"24",23.2864,23.603,28.8612,22.9663,NA,NA,NA,25.5685,NA,28.5453,18.7848,6.453,19.5795,2.94334,25.6728,26.6415,5.09951,14.5996,24.718,9.27779,28.6623,28.6705,1.85469,3.63496,30.8806,51.0933,52.8676,5.10781,NA,12.2823,9.3857,25.4283,34.9698,6.21279,11.6954,NA,11.4393,69.1901,82.2521,17.7622,13.2966,12.6502,16.655,46.9176,38.6959,11.6329,6.75243,78.8381,80.3946,47.6353,13.0448,74.1356,58.8808,4.11281,47.33085,27.8124,34.2873,53.5589,9.13017,13.5295,33.4743,1.97098,86.2418,7.30732,6.27954,79.1017,NA,29.9153,53.8069,14.4628,83.3072,75.0901,24.0152,93.1027,64.3856,87.7823,29.7363,46.3139,82.3099
"25",24.9938,26.1759,32.0888,31.4005,NA,NA,NA,25.4087,NA,25.7498,19.406,13.8786,28.3712,3.29767,26.5868,30.1903,3.52679,13.9914,20.5195,7.45967,26.4143,27.9559,2.13243,37.0463,68.4604,55.2094,57.1267,8.81212,NA,23.0194,8.87353,32.5067,51.8162,9.3218,11.6397,NA,11.2612,81.5243,85.9569,17.0615,18.37,13.1366,31.3409,61.1428,68.132,16.8154,7.82187,86.6907,58.514,53.4286,14.9956,83.4703,42.2502,6.29017,67.17565,41.6258,44.5651,55.4229,6.537,10.9028,44.814,3.70865,42.278,8.09967,9.79133,79.466,NA,56.0441,53.4495,16.7911,59.9743,75.0162,23.1854,92.2228,57.7275,85.5769,23.7328,47.9665,59.1405
"26",22.9736,22.7084,26.0163,24.0253,NA,NA,NA,24.2308,NA,28.5381,18.0626,5.94515,24.9677,2.39473,21.4016,26.2009,2.10025,11.595,19.0596,6.55014,28.6786,29.3232,1.38086,16.7976,53.8346,44.1375,17.2623,5.8988,NA,11.7679,12.9917,14.0229,32.3111,4.19117,7.4756,NA,11.4792,76.8947,34.6333,15.2917,8.05103,13.386,13.4,59.1984,57.5692,13.9102,6.46571,83.9487,83.4192,13.3019,11.1516,77.5185,26.9981,5.35281,47.2724,30.0821,40.8608,17.1171,4.42011,12.3062,31.5409,NA,21.3166,7.89461,9.33289,20.7575,NA,35.4019,42.9102,5.97738,79.585,59.4698,20.1568,25.8727,53.2686,89.6515,25.4643,28.0986,83.9366
"27",24.2133,23.0696,30.1756,21.7489,NA,NA,NA,24.7014,NA,29.859,18.8426,7.39226,15.8952,2.80936,22.9808,22.0002,2.86135,12.3381,22.4671,5.72112,28.0851,23.7473,6.68235,20.6079,29.733,41.8577,52.9749,5.64503,NA,11.5443,8.59339,21.6661,20.1702,6.90005,6.82333,NA,12.0135,78.904,44.8481,15.8376,11.8358,11.1073,12.9087,72.4435,26.2629,12.8555,5.107,80.9888,80.6013,5.80634,11.7925,51.9649,62.5437,5.47701,44.537,51.0988,39.7071,17.2598,12.7928,9.84617,53.6424,7.49648,64.0896,9.56883,5.65632,27.11,NA,34.9264,50.6327,13.8693,52.5551,63.9791,24.0533,27.6767,51.6976,24.6554,21.3363,30.9792,25.9157
"28",25.749,24.4865,29.7826,29.6668,NA,NA,NA,26.1999,NA,29.4213,15.9422,12.2427,30.9329,3.27671,27.7703,29.4657,4.55851,19.8187,22.8112,7.36394,27.8186,26.3549,2.15729,22.5634,24.5494,55.9434,55.045,5.08497,NA,24.1957,12.3036,36.5962,56.5745,10.6115,10.2819,NA,12.2953,25.015,40.8712,19.0948,14.6297,13.4896,18.2188,67.8748,27.4911,19.9752,7.05194,54.0558,83.4029,16.3136,15.2332,79.8556,71.447,5.80445,64.9493,61.5628,39.657,15.4897,7.67186,16.8793,66.7829,1.83056,84.0096,5.19184,8.75643,25.3215,NA,35.8103,NA,14.4838,18.4336,77.0678,22.3579,90.1209,54.7106,24.6727,13.1208,47.4936,24.4703
"29",24.861,24.8773,26.9618,25.0902,NA,NA,NA,27.7128,NA,28.5387,15.6778,3.23804,11.5047,1.63235,19.5038,24.8475,4.88697,16.9598,20.1586,6.53796,27.4144,27.4151,5.53947,22.2343,53.453,44.2085,56.5847,4.63157,NA,16.4707,4.21021,16.7306,16.41,4.17758,8.88372,NA,10.7148,73.4229,42.6705,16.005,11.0878,8.59004,15.187,78.2804,45.3727,13.8138,8.85469,81.5375,38.7842,45.0171,13.7727,53.7326,42.8489,3.89821,48.44955,54.6902,34.4755,59.2303,94.203,12.0202,58.733,1.00688,82.7313,7.1807,5.42788,26.0745,26.9374,42.3598,52.7179,7.1038,77.3909,72.6557,21.363,96.1815,57.4887,23.6227,52.4295,52.3448,83.0504
"30",16.7635,25.2754,24.7198,22.8889,NA,NA,NA,25.8722,NA,32.7636,17.9967,7.34885,25.8842,3.91081,22.1914,31.0572,2.19712,9.51908,21.4173,8.72611,24.4963,26.879,2.20376,12.2055,17.8562,28.5278,51.2312,6.33849,NA,10.7816,11.2245,28.5002,21.3705,4.11525,11.0224,NA,12.7925,53.397,37.9657,16.2409,11.4041,7.68977,16.571,78.2851,45.9552,11.797,8.3546,79.586,8.5073,48.3937,10.7712,65.76,55.0209,4.35525,12.5022,49.3929,35.919,56.1245,88.6608,15.5446,40.8411,NA,56.0089,8.13192,8.26719,25.7434,29.8433,49.9923,50.9981,22.594,75.9726,80.396,25.2986,102.742,48.168,27.2489,55.4028,40.8329,62.0768
