"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"21",24.2942,19.3125,5.69618,24.4889,NA,NA,NA,27.6062,NA,1.8023,4.99734,5.69516,10.217,24.7875,11.9346,25.4635,9.44943,17.198,25.3483,7.71678,2.3148,22.531,5.48443,4.39588,4.90296,8.53302,8.30416,17.865,6.56498,NA,23.108,14.8635,15.7358,28.6845,12.1415,10.8406,NA,31.6861,12.3813,21.1429,14.5031,9.52006,11.1611,19.7494,7.59645,16.7191,87.4672,11.0879,24.0871,7.00739,120.584,11.4009,21.0505,16.8727,NA,10.854695,11.1306,NA,7.69569,21.7621,61.4963,15.632,17.4706,19.1373,28.9349,23.3656,5.02593,4.15827,NA,13.6239,10.7269,46.4206,4.47185,9.93438,77.2533,11.2356,5.9148,18.6782,20.306,32.0322
"22",27.2499,28.502,7.71638,28.5989,NA,NA,NA,26.9537,NA,11.0083,19.725,32.4967,10.9554,24.2564,29.6164,13.4521,10.1764,21.2824,26.1376,11.013,4.46252,32.3467,3.66523,4.03625,10.852,20.3231,16.2563,18.3992,7.9237,NA,24.2297,12.9207,NA,33.28,18.4306,11.9215,NA,NA,17.5619,18.0478,NA,13.7048,NA,19.548,13.8983,24.004,42.6536,NA,27.0744,18.4333,37.2513,12.5912,23.1282,22.4889,NA,17.0548,13.6145,NA,10.7736,NA,NA,57.4792,16.4152,NA,NA,23.7051,8.54053,2.10602,NA,36.9209,12.2228,56.8813,7.74317,17.6092,92.4072,15.4639,7.4959,19.6669,25.0293,92.777
"23",24.8205,28.6993,3.89719,21.4809,NA,NA,NA,27.8876,NA,1.35624,9.71389,21.2655,5.86433,24.0123,23.1951,7.36504,6.18975,18.0307,21.5262,8.96597,3.43242,21.9749,5.57636,6.91234,13.3453,8.24661,116.411,18.826,12.2057,NA,22.8298,13.193,16.1286,44.6199,12.4692,8.20136,NA,107.511,8.10964,36.4519,11.9574,10.9577,12.5631,93.8833,64.3461,35.6584,85.3667,6.38179,129.505,62.4392,30.4935,7.93428,81.442,20.5461,NA,21.27315,11.5875,76.2096,17.0065,16.1059,21.5232,45.998,32.5857,25.4051,23.2606,47.171,NA,1.77225,NA,17.9382,15.9266,51.6785,17.3814,17.5704,84.1209,17.4373,18.9444,30.1079,19.3166,101.457
"24",7.88771,26.1231,11.2314,21.6166,NA,NA,NA,27.3517,NA,3.94418,19.7075,20.3835,7.45457,19.895,19.8955,14.675,10.1902,22.2052,21.9585,7.47302,4.41042,26.0401,5.27319,6.72631,15.812,2.78752,8.60291,26.5358,12.2953,NA,23.1003,9.07875,13.0943,13.9188,10.1221,13.3298,NA,121.278,9.26467,16.8009,14.4451,4.08019,13.0215,11.4845,8.956,14.1985,30.5006,9.61922,114.61,16.0556,30.7661,6.91403,54.4616,10.765,1.4678,13.0317,13.9936,41.3957,11.9539,19.1604,20.799,44.6548,24.7766,19.8342,29.2279,20.156,NA,2.50399,NA,35.8003,7.11116,47.413,11.1665,16.0041,65.2346,13.1114,19.0688,16.8056,17.8561,34.9783
"25",17.2593,22.9309,12.8058,23.6313,NA,NA,NA,27.3052,NA,3.84839,18.9456,NA,10.7061,23.9737,32.1807,9.09403,9.89596,24.7444,22.8633,11.3145,4.21002,19.1258,4.78817,7.63574,10.6197,20.2571,15.5594,29.5677,14.2717,NA,51.3011,14.5811,8.88791,25.8003,10.7379,60.4258,NA,35.1069,15.417,117.949,15.2685,19.9241,17.8223,13.6142,14.1908,22.9655,36.6556,21.4608,111.181,86.2447,42.054,16.0851,83.2491,18.2252,NA,21.1225,15.6396,51.8403,16.0497,21.6255,21.491,55.1737,20.928,3.70237,32.1547,20.747,NA,9.32355,NA,55.3537,18.2265,52.6704,13.8444,13.8634,93.5097,16.4649,19.2651,25.3125,28.7604,27.4622
"26",25.756,27.407,9.05674,19.9577,NA,NA,NA,2.38493,NA,2.67762,17.4518,15.7692,7.6546,18.3348,12.6217,11.4958,7.12368,22.6073,18.4637,8.25743,3.11905,18.4797,5.45923,10.2854,3.56981,6.43514,11.1664,21.3015,10.1373,NA,48.9382,7.47466,11.6202,27.4935,9.04465,10.1054,NA,35.2325,10.8013,12.4533,14.4854,13.747,15.7469,12.6987,11.7801,21.1187,42.5064,4.78334,107.883,82.373,32.8999,7.45762,57.9763,22.3567,NA,6.727895,10.3176,35.0146,15.4862,26.7792,23.2668,45.3761,16.3367,14.3068,45.3822,20.0561,32.471,4.64417,NA,50.5096,12.5294,58.0305,11.2157,8.09464,61.4839,13.6629,23.0583,15.7608,20.4976,30.2018
"27",25.2511,13.3583,10.2482,20.8687,NA,NA,NA,22.1695,NA,2.98817,15.3518,14.0922,2.53341,19.3329,17.1135,6.32307,6.95337,8.63711,20.1115,8.17091,4.76114,17.846,3.75064,8.24253,3.50367,9.01149,13.8965,16.2561,12.822,NA,18.8378,4.18736,11.8837,24.6983,11.4635,8.0301,NA,28.0557,11.9056,13.9714,14.3509,12.9475,13.8839,15.0313,5.0819,20.3906,34.3463,8.56344,19.4699,67.9806,22.4029,10.4568,74.1587,22.607,NA,18.7529,11.9461,46.5707,15.5812,33.2771,23.4156,46.1461,17.52,18.3638,42.5997,20.5445,NA,3.87661,NA,51.2924,6.50895,38.9712,16.1826,19.9923,85.7225,13.7924,14.995,15.4028,22.3045,31.8935
"28",16.305,28.7078,10.3154,25.5996,NA,NA,NA,23.1976,NA,2.18858,2.52394,22.8586,10.3645,15.4404,33.1347,2.08287,4.03967,22.5834,23.7664,10.4932,4.21615,12.9448,5.81051,14.535,8.22619,14.958,22.4997,30.2264,11.7845,NA,27.7199,16.9789,14.2346,39.2763,16.4657,10.0083,NA,27.6306,16.5429,19.6216,15.6418,21.8887,16.3929,15.2869,14.718,23.3118,41.286,9.53424,26.6814,17.6933,46.6727,10.6597,80.7249,20.9741,NA,22.7622,14.8442,109.215,19.1033,39.612,24.1415,56.9013,17.0669,23.8778,46.8259,23.091,NA,4.36453,NA,58.4855,15.2217,55.4464,NA,8.14478,94.4593,17.1196,21.106,23.5461,29.4627,34.8186
"29",20.0734,27.6356,5.07346,3.07343,NA,NA,NA,24.2907,NA,11.5864,7.6872,15.406,4.44124,13.8653,2.75684,14.5621,3.19618,24.9762,21.8625,11.0297,3.73017,18.5962,4.37782,5.55343,5.83252,2.21047,8.56875,18.256,12.4681,NA,23.4733,8.62929,14.594,4.94379,8.12828,13.9297,NA,43.3431,10.2436,21.0816,16.351,14.3238,9.6705,14.0831,10.9795,21.4316,30.9176,2.82496,25.7528,13.4516,137.048,8.32435,78.0976,17.5988,NA,16.2062,8.77132,44.0685,14.1961,33.2392,21.4671,49.5823,15.7324,17.2802,85.4375,37.8287,30.8594,3.64244,NA,25.7427,11.0592,45.0315,15.1869,9.45123,94.2155,15.6661,18.499,6.40171,15.0848,35.021
"30",14.1506,27.5333,8.29308,26.9715,NA,NA,NA,24.6414,NA,10.416,17.735,NA,8.20878,17.687,5.45942,7.69231,2.72766,21.3877,23.768,15.1212,3.87052,26.8791,2.99395,3.20981,7.85633,1.93752,9.74977,17.2013,11.7282,NA,24.3524,12.4043,15.8341,11.7952,6.697,11.5021,NA,30.049,10.7794,14.4276,13.7537,12.2185,10.6836,83.3009,40.8886,10.3938,33.6924,3.11251,24.5761,45.5008,128.661,11.8564,64.5848,59.468,NA,16.38725,7.98798,47.9119,15.0605,31.4426,22.0511,40.3639,13.8128,23.4669,26.2861,52.1796,28.1558,1.45264,NA,26.9312,12.8014,53.1641,10.0779,8.29526,79.202,11.7472,14.8862,10.856,9.84792,25.8123
"31",17.9499,30.5104,7.74891,30.8948,NA,NA,NA,27.4901,NA,7.52377,15.1907,22.9069,9.80075,20.0379,31.6317,14.0296,3.28255,25.7233,28.5495,22.4763,4.21255,25.847,6.05501,7.00152,10.1674,11.1038,14.7496,20.643,9.9775,NA,28.5673,10.0853,18.4337,27.3041,17.9061,18.9538,NA,44.5052,18.8755,21.0829,14.3916,16.6725,14.0329,15.8404,67.6388,21.5547,97.3507,12.8333,32.042,86.8009,140.448,13.2764,27.4893,22.0637,NA,22.5715,13.1617,NA,21.6486,32.5553,20.7081,49.2036,25.996,21.9482,45.9526,16.6905,26.1212,3.5799,NA,34.4681,18.3028,58.7686,12.173,24.6706,76.6843,17.6599,19.0068,23.3656,26.8995,33.6705
"32",29.4311,29.7116,6.38077,22.4566,NA,NA,NA,22.172,NA,17.566,1.65812,9.69223,5.60401,14.7587,9.0084,2.34187,5.46207,20.596,23.8651,8.27116,4.20958,16.0331,4.84398,5.25455,15.0689,5.30535,7.23944,19.7429,NA,NA,39.7387,5.70613,12.8821,22.4036,7.90885,6.79193,NA,41.6115,8.28917,16.5591,14.3347,13.0774,11.8746,11.9815,7.26759,10.6218,35.1094,4.48644,24.0697,42.3162,30.1833,9.39642,21.3743,18.2622,NA,13.77835,11.0929,39.6936,8.50722,42.9078,20.7207,37.0467,10.7489,11.3222,39.8578,18.9665,17.1108,1.86276,NA,50.7176,7.86806,35.3364,15.3791,8.41135,76.6747,15.3572,20.9412,12.3556,18.1745,32.8445
"33",14.7374,28.6093,4.1024,7.36717,NA,NA,NA,12.9832,NA,1.75997,13.291,19.4586,7.14393,13.977,2.27,2.62873,8.28891,14.1301,25.2526,9.96605,4.17429,23.2656,3.82576,4.19156,4.56972,4.87993,5.34631,18.6172,NA,NA,26.4744,13.6243,13.0371,20.5486,8.106,8.8264,NA,24.4741,13.7564,15.7615,16.6216,11.1155,10.698,17.8592,7.97,14.546,25.7147,2.12231,23.9691,12.2588,37.5169,7.73671,24.0186,14.8896,NA,15.08555,8.37392,43.6685,6.13257,26.9452,22.0439,31.9516,14.1416,17.2112,23.3883,20.9679,12.3144,1.38043,NA,31.5296,14.5942,52.7005,12.0213,10.7126,75.1129,15.006,17.7933,15.494,10.5012,39.1026
"34",24.4188,27.574,9.42192,11.1854,NA,NA,NA,5.44308,NA,8.41671,3.43767,21.987,8.93837,18.0865,1.33493,26.1299,9.45129,25.0551,25.7273,14.5329,3.95377,30.2863,3.79648,12.8249,11.3322,15.3228,1.88201,23.9723,NA,NA,40.0483,14.2538,21.9319,37.4382,14.497,13.3054,NA,32.888,24.1001,14.7609,18.2429,25.1289,15.4875,16.2373,10.7877,23.2076,43.274,6.78641,28.2802,18.0225,43.8719,13.6199,27.5848,23.1068,NA,12.94627,15.6541,NA,12.445,43.3473,25.114,56.8235,16.7092,24.3155,49.5119,25.6721,25.0188,NA,NA,40.0262,18.3621,59.983,9.91338,22.0157,68.5959,21.574,18.2781,20.8368,21.6523,30.0495
"35",30.9885,27.2458,19.6438,29.9887,NA,NA,NA,15.2731,NA,6.72726,17.9069,15.8745,5.39316,14.4156,10.9928,22.9538,8.70138,12.3217,28.4547,17.3306,3.27382,13.3432,5.58802,4.58603,5.46168,8.73785,9.73398,9.53723,6.44409,NA,20.0224,12.2569,13.4332,24.7799,6.2997,10.9087,NA,24.623,6.46872,13.6685,14.4883,14.9767,4.95641,17.5838,8.07563,14.4165,34.238,5.74345,14.2939,11.1603,30.4288,9.97542,21.5033,17.2124,NA,16.94225,5.58398,41.4104,4.75363,29.0308,20.8552,40.8205,11.5981,18.0055,43.2176,19.2703,23.0112,3.12392,NA,43.9124,12.126,52.4788,11.5997,7.72995,78.3684,14.1572,18.7713,14.9913,17.5976,29.2027
