"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"21",16.2209,15.028,9.13615,6.48,NA,NA,NA,17.0021,NA,16.1464,9.77126,23.3564,1.19531,16.3421,24.8345,13.25,1.09951,8.69814,18.6085,14.9587,2.95459,2.48227,NA,5.63037,7.11733,13.6684,11.8668,21.5022,1.58771,NA,12.3201,4.27863,14.9315,12.0198,8.7564,5.99571,NA,15.6172,11.0773,15.8474,7.67822,7.9183,7.93211,19.5101,17.0798,14.4635,17.3931,6.36894,18.9627,14.5543,28.1264,6.53764,20.0746,14.1148,NA,9.88504,7.21167,NA,17.6082,16.2701,8.87186,17.0435,9.11941,14.3893,18.1689,17.6674,4.16068,NA,NA,9.99979,10.3482,18.1981,12.3335,10.5594,30.7545,14.6117,4.89394,4.47307,6.51929,17.8884
"22",18.8392,20.7926,6.11577,17.4306,NA,NA,NA,17.782,NA,16.3477,20.0112,18.3721,1.63255,14.868,17.104,21.0527,2.93694,15.1951,21.2119,17.3276,6.3923,1.22983,NA,6.94274,16.4245,19.169,11.6168,23.0839,1.67695,NA,14.7142,5.30807,NA,15.8065,10.3075,7.06068,NA,NA,13.2045,19.9757,NA,10.1931,NA,16.5738,19.2603,19.3061,14.8029,NA,16.5606,17.4448,16.5809,12.3474,18.07,17.7466,NA,11.957135,7.62189,NA,19.4802,NA,NA,21.9266,10.1997,NA,NA,17.0249,5.75244,NA,NA,11.2802,11.6209,17.169,11.3368,15.9216,33.6022,17.8411,8.36502,8.99701,8.75179,31.0754
"23",16.6184,11.4507,3.54641,15.3965,NA,NA,NA,15.1229,NA,19.6567,17.7705,3.15216,1.53169,17.7623,14.7639,20.4196,2.55762,15.8897,20.7105,16.9837,5.78339,NA,NA,6.2844,5.9196,12.7226,27.8604,20.2798,1.34684,NA,5.04418,4.19874,11.6971,8.05418,8.58732,5.62835,NA,32.1457,6.60753,32.5761,6.1203,7.30325,6.80384,18.7999,31.9195,14.2678,36.2545,7.20278,18.422,26.5004,8.51039,9.57285,22.0464,17.4832,NA,10.8512,6.91968,25.3688,16.6596,17.5509,14.6854,27.898,1.17703,8.68937,15.3776,31.7106,NA,NA,NA,13.0463,9.68675,9.06565,3.999,9.8791,27.4899,4.86321,2.61372,1.19582,5.89906,19.51
"24",15.8204,20.5912,8.398,15.561,NA,NA,NA,15.5794,NA,18.5773,22.9161,1.86521,1.52577,3.60348,10.747,12.1097,2.69958,15.4557,20.945,15.5169,5.17357,1.25612,NA,5.60123,7.42374,11.6117,13.639,23.2082,1.49683,NA,6.53077,4.32385,7.66403,14.4852,9.96386,5.27614,NA,30.6511,7.71743,19.8651,9.52517,7.32273,9.91917,18.1262,18.647,16.153,7.49027,6.73189,19.1838,12.0446,4.60966,10.2705,22.6959,14.8401,NA,10.75366,7.37209,23.83,16.0636,17.305,15.4177,29.0235,1.27692,4.97734,16.7661,15.9035,NA,NA,NA,3.72852,8.45837,14.8878,19.5835,7.76295,30.0192,10.9566,2.58274,6.80905,7.23119,20.4762
"25",21.234,19.8155,7.34607,17.8218,NA,NA,NA,15.642,NA,17.0026,16.9487,3.56168,1.11266,3.16836,18.5495,14.8637,1.04772,17.8411,21.3048,18.4789,6.0461,2.38841,NA,3.81446,18.5193,17.8425,14.779,21.2972,1.62072,NA,5.99183,4.66248,3.04786,15.5691,13.1484,8.29384,NA,12.5985,10.2648,28.4413,10.5849,8.98735,11.2526,19.0208,19.6908,19.6325,18.2168,7.67323,20.488,33.1092,11.3173,11.3185,28.7723,17.7252,NA,11.208385,8.89602,24.2474,18.0548,16.7114,15.0585,29.1355,1.13832,NA,19.2608,19.8267,NA,2.03368,NA,15.9265,12.2937,20.12,17.5526,2.101,32.3361,15.9847,3.19419,10.8511,10.8018,19.0435
"26",3.60026,18.434,6.33085,14.5666,NA,NA,NA,25.8458,NA,17.7411,19.3904,3.05175,NA,1.85224,27.2352,20.1791,1.71481,17.1071,20.0755,16.3219,5.56873,NA,NA,5.71158,8.01782,10.3277,13.6758,21.0901,NA,NA,2.36994,4.0474,4.98226,10.4216,7.31675,7.01428,NA,11.0945,9.91625,18.7885,7.64455,11.1189,10.5126,17.72,17.5858,14.7248,16.8522,4.04399,15.7419,30.3488,13.9764,10.771,13.3513,12.6995,NA,9.006635,5.94385,26.2572,14.5145,15.7241,12.1714,28.7265,8.71922,17.0111,17.7637,17.4908,1.31107,NA,NA,13.4939,8.2016,15.0154,17.19,1.54297,29.6075,13.6416,4.62087,6.02993,4.57694,16.6351
"27",2.60516,19.0892,9.18311,16.91,NA,NA,NA,27.5001,NA,15.9728,19.9847,2.42811,NA,2.26235,27.9443,14.9717,1.20284,12.4047,22.1143,16.6928,4.51673,11.3616,NA,6.88062,6.48609,12.5254,12.1404,17.748,1.30597,NA,10.7421,2.74943,10.3976,9.49362,8.11217,9.0067,NA,15.3243,10.2049,18.2146,6.91173,11.6719,9.93447,17.5582,17.2477,15.1315,17.3234,4.87306,14.9376,28.1339,15.5262,9.63121,17.1104,17.5589,NA,11.413555,7.46433,27.1254,14.6895,17.2449,11.8019,27.5488,9.39169,15.1108,15.7033,15.6985,NA,NA,NA,14.5842,9.2609,17.5593,19.8933,8.24024,30.2337,14.0814,3.38346,7.47307,4.87917,19.0638
"28",2.12158,20.4111,9.67803,19.0318,NA,NA,NA,15.5857,NA,20.6643,24.6865,3.74739,NA,3.18316,19.4192,16.23,1.521,17.8937,23.8804,16.8121,9.66983,12.3851,1.11787,6.71859,14.3291,10.9338,15.0893,24.552,1.32496,NA,10.6678,6.16878,7.37433,14.1819,11.9209,7.63913,NA,8.22976,12.415,19.5792,10.5478,13.5553,12.9226,19.5755,18.8162,12.7638,20.2599,4.59457,16.7716,16.802,20.6381,12.2361,19.7443,16.5641,NA,14.23253,7.83885,29.6814,18.2497,17.0494,11.7297,27.3014,10.4544,17.7475,19.0427,19.7947,NA,NA,NA,19.5776,12.524,18.3819,NA,16.0277,32.7021,16.463,3.54763,11.7134,7.20598,14.0284
"29",3.38243,19.711,6.82344,12.4278,NA,NA,NA,14.9697,NA,19.5136,11.2608,2.26904,NA,2.99538,27.3457,12.222,1.10204,17.0284,20.314,16.8447,6.58227,10.4154,NA,5.89117,7.61947,7.63893,13.7024,20.2389,NA,NA,8.6744,3.82383,10.6888,7.21366,7.01875,9.33649,NA,17.7697,9.04886,18.08,8.88959,6.41635,6.69052,17.4529,17.2115,18.6082,16.6312,4.15186,17.761,7.54438,22.8228,10.2641,16.0564,15.9367,NA,18.04435,7.47389,27.5955,12.7988,16.3777,12.2731,30.896,11.9913,15.3596,15.0091,31.9456,1.29012,NA,NA,14.7373,6.57496,9.18449,16.7877,3.59112,34.1421,14.1396,4.92449,6.52375,4.26557,16.5982
"30",2.81122,15.7822,4.33969,16.6784,NA,NA,NA,15.5615,NA,12.3621,19.9308,NA,1.52308,3.45482,24.1198,19.9268,1.09492,15.2822,21.7917,4.52171,6.1633,2.10021,1.37846,6.94863,14.1439,11.3194,8.67476,18.3839,1.11458,NA,8.45626,4.71646,6.02047,8.52814,4.14822,8.81916,NA,15.6568,NA,20.1698,6.20718,11.6966,6.56808,32.6574,33.0791,17.0095,16.6485,7.22904,17.7032,15.892,21.9561,9.9843,18.9063,27.4108,NA,14.123225,9.54198,21.9351,17.4527,12.5832,13.8946,16.8416,9.99838,17.4624,8.55485,30.5086,1.46381,NA,NA,15.1364,9.03945,18.2328,15.4203,5.72473,30.2363,15.8733,4.29595,4.32347,4.27403,17.6477
"31",1.54449,21.3025,7.46971,18.206,NA,NA,NA,14.4339,NA,19.9444,21.4613,1.41445,1.55434,3.44559,17.8486,22.3249,1.34041,18.1342,21.7067,4.23676,7.14981,8.68598,1.604,6.7502,15.5062,10.3233,14.4768,18.2046,1.98775,NA,15.6666,5.83209,13.3602,12.0524,10.2367,8.32109,NA,21.4421,10.42,19.6257,8.08646,14.4523,12.1704,19.2971,34.1449,16.0149,23.4683,7.58218,16.3421,23.4521,19.7033,11.9532,19.8559,20.1015,NA,14.789195,8.05017,NA,17.8156,18.0083,12.4238,28.8569,7.42993,18.011,18.3529,17.6834,9.15271,NA,NA,20.0549,11.3585,19.5618,17.3354,17.5787,29.4988,16.0915,4.2861,5.94611,5.94101,17.8952
"32",2.9084,19.0316,4.79428,16.8915,NA,NA,NA,23.9938,NA,13.5792,13.8357,2.46631,1.20298,1.51771,27.3067,21.0047,2.24292,13.7974,21.8247,17.2528,5.41116,4.13573,NA,5.39375,6.40872,6.41144,7.65802,16.1279,NA,NA,2.00989,4.06579,7.15544,9.9594,6.46642,6.60477,NA,10.9102,7.20517,17.2022,9.01674,12.752,10.6678,16.7829,14.5793,15.9318,17.5094,2.64375,18.2285,25.1438,14.2353,7.42858,20.5664,14.3214,NA,9.20826,7.34476,22.6953,16.8176,15.7675,12.8203,28.1485,8.96947,14.7749,17.1083,16.0644,6.50192,NA,NA,11.7595,6.95646,14.2668,17.378,NA,28.0339,14.8748,3.82277,3.63867,5.15581,18.6897
"33",3.38307,16.2734,5.45334,10.6445,NA,NA,NA,22.0417,NA,21.8764,17.1348,2.7471,1.45526,2.51468,28.9217,21.8372,2.28633,11.444,23.6684,16.5128,8.62522,4.11234,NA,6.57206,8.8964,6.63552,6.88636,20.04,NA,NA,9.62158,5.41811,6.56006,9.8252,6.52305,5.78136,NA,10.5611,9.59637,20.2718,7.58939,7.27406,9.80242,17.1485,17.2262,15.1397,17.1071,3.91405,15.6065,14.3069,10.8853,9.32511,18.9812,16.1922,NA,10.565025,7.81084,26.4953,16.8864,14.7489,14.3194,29.9663,9.33034,15.8993,15.4981,19.5791,7.10931,NA,NA,11.6757,9.51816,17.2084,18.0748,7.1838,33.3511,12.873,4.06224,6.44605,5.10598,17.324
"34",1.74401,20.5675,6.80334,10.6917,NA,NA,NA,21.2012,NA,24.5286,21.9931,3.36704,1.51133,1.93172,30.0388,16.2032,1.43973,17.5291,25.9298,19.038,10.1253,2.27757,1.82477,5.52378,17.5242,10.96,NA,17.8727,NA,NA,16.0415,6.59269,14.6084,11.9553,11.2401,10.9892,NA,20.3078,11.4372,17.4444,8.82219,16.6781,13.5924,20.4311,19.7027,15.9308,19.6338,7.37588,19.627,17.2584,17.69,13.3866,21.3719,20.564,NA,8.817165,10.0258,NA,19.479,16.7802,14.4885,29.0953,12.9064,17.5144,18.0997,16.5918,7.31012,NA,NA,15.4831,11.7818,19.229,17.9019,14.9283,31.1982,15.5278,4.3862,8.47652,7.39563,15.8022
